Account_number,PORTFOLIO,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,Account Open Date,Loan_amount,Loan_status,Last_payment_date,Origination_fico_score,Current_fico_score,Current_outstanding
38681482,CREDIT CARD,294-15-8059,406-248-8122,Wisdom,Beaverhead,Wisdom,MT,59761,West,19-09-19,"$56,281",Non-Default,27-02-21,681,726,"$26,452"
38681483,MORTGAGE,194-86-0531,205-695-6456,Lester,Limestone,Lester,AL,35647,South,01-07-21,"$435,220",Non-Default,24-08-21,736,756,"$165,384"
38681484,CREDIT CARD,205-84-4410,216-965-8195,Fredericktown,Knox,Fredericktown,OH,43019,Midwest,17-03-21,"$52,407",Default,30-03-21,744,756,"$15,722"
38681485,CREDIT CARD,705-18-9109,803-579-0949,Columbia,Richland,Columbia,SC,29230,South,21-07-19,"$82,966",Non-Default,24-08-21,797,809,$830
38681486,MORTGAGE,601-99-4493,316-849-3466,Whitewater,Butler,Whitewater,KS,67154,Midwest,26-04-19,"$979,649",Default,21-05-21,664,686,"$127,354"
38681487,PERSONAL LOAN,335-11-5747,212-483-7047,Bloomingdale,Essex,Bloomingdale,NY,12913,Northeast,24-08-21,"$146,992",Non-Default,20-05-21,717,729,"$64,676"
38681488,CREDIT CARD,604-87-7188,302-997-9447,Wilmington,New Castle,Wilmington,DE,19810,South,24-08-21,"$52,161",Default,15-02-21,673,723,"$22,951"
38681489,MORTGAGE,138-25-6592,314-268-1281,Foristell,St. Charles,Foristell,MO,63348,Midwest,05-11-19,"$851,411",Default,16-07-21,743,754,$0
38681490,PERSONAL LOAN,452-99-4078,270-298-4932,Jeremiah,Letcher,Jeremiah,KY,41826,South,13-09-18,"$43,277",Non-Default,14-12-20,748,764,"$14,281"
38681491,CREDIT CARD,512-33-2139,210-759-2409,Yancey,Medina,Yancey,TX,78886,South,28-01-20,"$40,864",Non-Default,15-08-21,667,676,"$12,259"
38681492,MORTGAGE,513-31-5856,231-869-9589,Ravenna,Muskegon,Ravenna,MI,49451,Midwest,08-04-19,"$618,570",Default,18-05-21,676,721,"$179,385"
38681493,CREDIT CARD,042-15-4882,231-641-1997,Ramsay,Gogebic,Ramsay,MI,49959,Midwest,07-02-20,"$31,490",Non-Default,11-02-21,855,895,"$5,668"
38681494,PERSONAL LOAN,697-16-1234,385-659-4706,Koosharem,Sevier,Koosharem,UT,84744,West,18-06-18,"$83,216",Non-Default,13-08-21,854,859,"$37,447"
38681495,CREDIT CARD,007-11-9475,307-547-1396,Hanna,Carbon,Hanna,WY,82327,West,23-10-19,"$80,350",Default,16-02-21,851,852,"$39,372"
38681496,CREDIT CARD,247-99-8346,215-705-2633,Horsham,Montgomery,Horsham,PA,19044,Northeast,17-08-21,"$87,248",Non-Default,09-04-21,835,825,"$26,174"
38681497,MORTGAGE,201-84-5389,219-274-6646,Fort Wayne,Allen,Fort Wayne,IN,46865,Midwest,18-08-21,"$177,144",Non-Default,18-03-21,701,736,"$19,486"
38681498,CREDIT CARD,171-86-8659,212-826-2615,Smyrna,Chenango,Smyrna,NY,13464,Northeast,05-04-18,"$91,332",Non-Default,10-07-21,824,871,"$9,133"
38681499,CREDIT CARD,424-65-2061,215-776-6444,Pittsburgh,Allegheny,Pittsburgh,PA,15217,Northeast,27-04-18,"$73,207",Default,16-08-21,827,868,"$25,622"
38681500,PERSONAL LOAN,771-02-3375,218-823-9050,Adams,Mower,Adams,MN,55909,Midwest,10-12-18,"$100,723",Non-Default,23-05-21,857,905,"$3,022"
38681501,CREDIT CARD,093-02-6556,206-315-7141,Pacific Beach,Grays Harbor,Pacific Beach,WA,98571,West,24-08-21,"$64,342",Non-Default,24-08-21,757,764,"$1,930"
38681502,MORTGAGE,231-99-2338,215-233-6496,Green Lane,Montgomery,Green Lane,PA,18054,Northeast,24-08-21,"$481,860",Non-Default,05-03-21,841,862,"$72,279"
38681503,MORTGAGE,443-27-3725,202-877-6656,Washington,District of Columbia,Washington,DC,20019,South,20-03-18,"$574,338",Non-Default,01-01-21,827,818,"$275,682"
38681504,CREDIT CARD,598-92-5439,802-746-2991,Fairlee,Orange,Fairlee,VT,5045,Northeast,09-02-19,"$51,563",Non-Default,30-05-21,676,694,"$20,110"
38681505,PERSONAL LOAN,402-73-8856,252-949-5883,Rocky Mount,Edgecombe,Rocky Mount,NC,27801,South,18-08-18,"$52,972",Non-Default,04-06-21,704,713,"$23,837"
38681506,PERSONAL LOAN,237-99-6530,319-934-8815,Plano,Appanoose,Plano,IA,52581,Midwest,18-09-18,"$59,201",Default,23-03-21,832,846,"$17,168"
38681507,CREDIT CARD,305-37-2835,423-580-6333,Memphis,Shelby,Memphis,TN,38161,South,17-05-19,"$92,163",Default,08-03-21,839,833,"$14,746"
38681508,MORTGAGE,498-29-9817,339-377-9203,Fitchburg,Worcester,Fitchburg,MA,1420,Northeast,17-08-19,"$808,619",Non-Default,30-11-20,843,834,"$331,534"
38681509,MORTGAGE,001-11-9795,225-639-2071,Plattenville,Assumption,Plattenville,LA,70393,South,27-02-19,"$746,156",Non-Default,19-04-21,874,895,"$283,539"
38681510,CREDIT CARD,562-99-8781,308-429-3613,Lincoln,Lancaster,Lincoln,NE,68532,Midwest,25-03-20,"$29,609",Default,09-02-21,897,913,"$13,028"
38681511,CREDIT CARD,329-11-7284,209-924-9196,Armona,Kings,Armona,CA,93202,West,24-08-21,"$31,697",Non-Default,24-08-21,711,708,"$7,290"
38681512,CREDIT CARD,287-15-7570,239-792-6033,Fort Walton Beach,Okaloosa,Fort Walton Beach,FL,32547,South,01-05-18,"$56,605",Default,11-12-20,887,904,"$6,793"
38681513,CREDIT CARD,461-99-8909,229-906-0840,Elberton,Elbert,Elberton,GA,30635,South,16-09-20,"$88,479",Non-Default,28-05-21,677,696,"$34,507"
38681514,CREDIT CARD,323-11-4916,270-371-9985,Bryants Store,Knox,Bryants Store,KY,40921,South,03-02-19,"$59,199",Non-Default,24-08-21,843,856,"$29,600"
38681515,MORTGAGE,142-23-9501,229-986-2161,Demorest,Habersham,Demorest,GA,30535,South,03-10-19,"$155,778",Non-Default,01-04-21,812,857,$0
38681516,MORTGAGE,443-27-0537,209-523-3521,Santa Maria,Santa Barbara,Santa Maria,CA,93458,West,16-11-18,"$460,307",Non-Default,24-08-21,651,652,"$147,298"
38681517,MORTGAGE,044-15-2766,339-939-5353,Upton,Upton,Upton,MA,1587,Northeast,04-01-18,"$642,199",Non-Default,10-05-21,829,831,"$12,844"
38681518,MORTGAGE,410-99-4041,308-406-4223,Ewing,Holt,Ewing,NE,68735,Midwest,01-09-20,"$835,197",Non-Default,28-12-20,884,887,"$334,079"
38681519,MORTGAGE,216-89-1443,217-269-4640,Gilson,Knox,Gilson,IL,61436,Midwest,12-06-18,"$111,313",Default,14-07-21,777,767,"$50,091"
38681520,CREDIT CARD,570-99-6339,206-829-4205,Malo,Ferry,Malo,WA,99150,West,16-02-19,"$52,933",Non-Default,08-11-20,844,849,"$24,879"
38681521,MORTGAGE,465-99-9961,201-253-1276,Mc Afee,Sussex,Mc Afee,NJ,7428,Northeast,05-06-19,"$489,190",Default,24-02-21,657,695,"$161,433"
38681522,CREDIT CARD,469-57-3544,702-904-5114,Gardnerville,Douglas,Gardnerville,NV,89410,West,01-12-20,"$37,518",Non-Default,24-08-21,789,781,"$10,130"
38681523,MORTGAGE,313-35-9598,803-599-8547,Summerton,Clarendon,Summerton,SC,29148,South,06-04-21,"$217,778",Non-Default,14-03-21,796,805,"$47,911"
38681524,PERSONAL LOAN,162-86-3382,209-793-3125,San Francisco,San Francisco,San Francisco,CA,94160,West,15-04-19,"$158,659",Non-Default,06-05-21,709,752,"$6,346"
38681525,CREDIT CARD,118-98-6128,209-788-6772,Rocklin,Placer,Rocklin,CA,95677,West,19-10-20,"$37,682",Non-Default,28-06-21,874,922,"$15,826"
38681526,PERSONAL LOAN,391-33-4094,319-361-3947,Panora,Guthrie,Panora,IA,50216,Midwest,13-05-20,"$116,852",Non-Default,24-08-21,781,781,"$44,404"
38681527,PERSONAL LOAN,285-15-9988,385-928-8298,Talmage,Duchesne,Talmage,UT,84073,West,03-03-21,"$101,263",Non-Default,24-08-21,868,859,"$2,025"
38681528,MORTGAGE,086-02-5849,216-823-7819,Port Washington,Tuscarawas,Port Washington,OH,43837,Midwest,11-06-20,"$715,616",Non-Default,13-12-20,834,846,"$350,652"
38681529,MORTGAGE,119-98-8927,270-606-2506,Spottsville,Henderson,Spottsville,KY,42458,South,13-03-21,"$602,583",Non-Default,23-08-21,734,739,"$289,240"
38681530,PERSONAL LOAN,333-11-4642,423-897-4512,Memphis,Shelby,Memphis,TN,38163,South,03-02-20,"$129,456",Non-Default,30-01-21,774,784,"$45,310"
38681531,PERSONAL LOAN,053-02-3165,236-334-0806,Norwood,Nelson,Norwood,VA,24581,South,19-03-21,"$178,892",Non-Default,15-04-21,868,860,"$87,657"
38681532,PERSONAL LOAN,356-08-8705,216-653-8327,Lewis Center,Delaware,Lewis Center,OH,43035,Midwest,13-06-18,"$100,615",Default,04-11-20,733,750,"$29,178"
38681533,CREDIT CARD,510-33-3050,219-899-1641,Ashley,DeKalb,Ashley,IN,46705,Midwest,14-10-20,"$33,761",Non-Default,29-01-21,713,717,"$16,205"
38681534,MORTGAGE,722-18-7417,262-759-3097,Milwaukee,Milwaukee,Milwaukee,WI,53212,Midwest,11-06-21,"$328,305",Default,11-04-21,834,858,"$111,624"
38681535,CREDIT CARD,353-08-9210,231-818-5485,Byron Center,Kent,Byron Center,MI,49315,Midwest,15-09-18,"$45,923",Non-Default,24-08-21,708,747,"$18,369"
38681536,CREDIT CARD,100-02-2700,212-540-7187,Jamaica,Jamaica,Jamaica,NY,11472,Northeast,24-08-21,"$46,091",Non-Default,24-08-21,686,704,"$6,453"
38681537,CREDIT CARD,274-17-5219,239-881-9841,Pensacola,Escambia,Pensacola,FL,32508,South,17-09-19,"$86,558",Non-Default,15-11-20,829,848,"$18,177"
38681538,CREDIT CARD,720-18-2934,229-817-8492,Conyers,Conyers,Conyers,GA,30207,South,08-12-20,"$60,065",Non-Default,18-02-21,691,691,"$22,825"
38681539,PERSONAL LOAN,492-29-2741,203-707-4248,Norwalk,Fairfield,Norwalk,CT,6855,Northeast,16-05-21,"$146,031",Default,31-05-21,715,763,"$30,667"
38681540,PERSONAL LOAN,595-99-9360,210-368-9439,Loop,Gaines,Loop,TX,79342,South,22-10-19,"$198,425",Default,31-07-21,763,805,"$19,843"
38681541,MORTGAGE,358-08-9192,219-890-5272,Indianapolis,Marion,Indianapolis,IN,46256,Midwest,18-01-19,"$480,727",Non-Default,03-08-21,798,819,"$38,458"
38681542,MORTGAGE,503-45-4986,240-667-1987,Silver Spring,Montgomery,Silver Spring,MD,20910,South,15-02-21,"$209,165",Non-Default,29-12-20,765,814,"$54,383"
38681543,MORTGAGE,592-99-7899,219-953-1512,Ferdinand,Dubois,Ferdinand,IN,47532,Midwest,03-04-19,"$808,502",Default,24-08-21,759,796,"$355,741"
38681544,CREDIT CARD,757-12-5995,239-644-2623,Pensacola,Escambia,Pensacola,FL,32592,South,26-04-20,"$73,070",Non-Default,24-08-21,794,807,"$26,305"
38681545,MORTGAGE,638-29-0754,217-992-8596,Oakley,Macon,Oakley,IL,62552,Midwest,23-07-19,"$653,538",Default,24-08-21,762,762,"$117,637"
38681546,MORTGAGE,527-99-5649,207-629-7368,Washington,Knox,Washington,ME,4574,Northeast,25-01-20,"$485,548",Default,24-08-21,764,794,"$194,219"
38681547,CREDIT CARD,107-98-3364,314-233-4188,Curryville,Pike,Curryville,MO,63339,Midwest,14-05-18,"$28,178",Non-Default,15-07-21,825,875,"$10,989"
38681548,CREDIT CARD,067-02-0697,231-203-6775,Bessemer,Gogebic,Bessemer,MI,49911,Midwest,16-10-20,"$60,351",Non-Default,24-08-21,836,859,"$9,053"
38681549,PERSONAL LOAN,690-22-2721,307-976-2978,Hulett,Crook,Hulett,WY,82720,West,10-03-20,"$145,670",Non-Default,28-07-21,712,724,"$27,677"
38681550,PERSONAL LOAN,730-28-0279,480-650-0927,Phoenix,Maricopa,Phoenix,AZ,85028,West,14-12-20,"$162,255",Non-Default,24-08-21,899,907,"$1,623"
38681551,MORTGAGE,061-02-7343,316-749-1691,Rose Hill,Butler,Rose Hill,KS,67133,Midwest,11-09-20,"$194,839",Non-Default,24-08-21,870,906,"$85,729"
38681552,PERSONAL LOAN,260-99-7335,218-903-4437,Young America,Carver,Young America,MN,55553,Midwest,17-02-21,"$148,307",Non-Default,05-07-21,662,655,"$10,381"
38681553,CREDIT CARD,543-81-9942,229-456-4082,Warthen,Washington,Warthen,GA,31094,South,09-04-18,"$55,807",Default,24-08-21,895,922,"$27,345"
38681554,CREDIT CARD,558-99-2512,907-899-1451,Ambler,Northwest Arctic,Ambler,AK,99786,West,25-02-18,"$40,937",Default,24-08-21,679,694,"$13,919"
38681555,CREDIT CARD,037-74-2575,209-728-5936,Korbel,Humboldt,Korbel,CA,95550,West,14-05-18,"$40,724",Non-Default,21-03-21,887,895,"$8,145"
38681556,MORTGAGE,616-87-0566,209-226-0647,Desert Hot Springs,Riverside,Desert Hot Springs,CA,92240,West,25-06-21,"$555,641",Non-Default,15-12-20,698,688,"$27,782"
38681557,CREDIT CARD,662-22-4299,319-572-0072,Collins,Story,Collins,IA,50055,Midwest,10-11-18,"$81,978",Non-Default,08-07-21,651,677,"$9,837"
38681558,CREDIT CARD,487-29-9269,206-673-0231,Bellevue,King,Bellevue,WA,98008,West,10-10-18,"$91,589",Non-Default,24-08-21,895,945,"$17,402"
38681559,MORTGAGE,445-27-1331,203-321-1336,Lakeville,Litchfield,Lakeville,CT,6039,Northeast,09-12-19,"$789,110",Non-Default,24-08-21,860,900,"$362,991"
38681560,MORTGAGE,307-37-0822,236-580-2943,Rocky Mount,Franklin,Rocky Mount,VA,24151,South,15-12-19,"$115,213",Non-Default,24-08-21,791,815,"$3,456"
38681561,CREDIT CARD,455-99-9701,236-488-1611,Cartersville,Cumberland,Cartersville,VA,23027,South,10-11-19,"$27,140",Non-Default,16-07-21,863,894,"$5,428"
38681562,MORTGAGE,476-55-5750,701-592-1055,Hensel,Pembina,Hensel,ND,58241,Midwest,12-04-19,"$216,069",Non-Default,24-08-21,713,733,"$90,749"
38681563,CREDIT CARD,260-99-0412,303-707-4806,Anton,Washington,Anton,CO,80801,West,24-05-18,"$41,281",Non-Default,24-08-21,797,789,"$17,751"
38681564,CREDIT CARD,673-48-9319,270-200-1366,Centertown,Ohio,Centertown,KY,42328,South,27-05-20,"$87,872",Non-Default,06-06-21,747,772,"$22,847"
38681565,MORTGAGE,540-83-7091,423-794-1864,Maryville,Blount,Maryville,TN,37802,South,10-06-20,"$336,356",Non-Default,02-04-21,859,883,"$3,364"
38681566,CREDIT CARD,011-94-0437,209-302-0211,Oxnard,Ventura,Oxnard,CA,93036,West,24-11-19,"$64,058",Default,03-08-21,887,880,"$6,406"
38681567,CREDIT CARD,045-15-6151,216-887-5759,Geneva,Ashtabula,Geneva,OH,44041,Midwest,18-11-19,"$97,469",Default,31-01-21,837,842,"$29,241"
38681568,MORTGAGE,642-29-3057,316-643-8454,Beaver,Beaver,Beaver,KS,67517,Midwest,28-02-18,"$352,960",Default,25-02-21,742,762,"$38,826"
38681569,PERSONAL LOAN,470-57-9443,252-904-6495,Simpson,Pitt,Simpson,NC,27879,South,16-02-20,"$136,221",Non-Default,10-06-21,684,682,"$20,433"
38681570,MORTGAGE,324-11-0091,304-273-6490,Bethany,Brooke,Bethany,WV,26032,South,15-08-20,"$326,099",Non-Default,24-08-21,743,735,"$150,006"
38681571,MORTGAGE,408-99-9413,236-587-6109,Moneta,Bedford,Moneta,VA,24121,South,17-11-20,"$234,732",Non-Default,14-11-20,837,846,"$98,587"
38681572,PERSONAL LOAN,554-99-9810,216-792-9246,Dayton,Montgomery,Dayton,OH,45439,Midwest,19-02-21,"$133,367",Default,12-03-21,753,803,"$6,668"
38681573,PERSONAL LOAN,234-57-6762,239-857-3669,Laurel,Sarasota,Laurel,FL,34272,South,15-02-19,"$126,906",Non-Default,24-08-21,753,796,"$26,650"
38681574,MORTGAGE,663-22-4756,212-502-1180,Ontario,Wayne,Ontario,NY,14519,Northeast,19-04-18,"$545,257",Default,12-01-21,802,792,"$158,125"
38681575,CREDIT CARD,549-99-0595,210-860-0272,Houston,Harris,Houston,TX,77092,South,16-02-18,"$83,918",Default,01-11-20,715,750,"$7,553"
38681576,CREDIT CARD,632-31-3141,228-456-1282,Michigan City,Benton,Michigan City,MS,38647,South,13-05-20,"$39,000",Non-Default,24-08-21,821,836,"$2,340"
38681577,MORTGAGE,284-15-1084,205-819-4049,Magnolia,Marengo,Magnolia,AL,36754,South,25-06-20,"$235,075",Non-Default,05-01-21,785,795,"$11,754"
38681578,MORTGAGE,518-89-2759,239-709-8070,Clearwater,Pinellas,Clearwater,FL,33761,South,10-12-19,"$652,022",Non-Default,25-12-20,694,688,"$84,763"
38681579,CREDIT CARD,468-57-4620,401-483-5160,North Providence,Providence,North Providence,RI,2911,Northeast,09-02-21,"$86,206",Non-Default,25-06-21,722,734,"$38,793"
38681580,CREDIT CARD,223-99-7389,270-868-4599,Talbert,Breathitt,Talbert,KY,41377,South,05-04-19,"$55,925",Default,17-04-21,794,820,"$13,981"
38681581,MORTGAGE,010-94-1475,239-278-0799,Madison,Madison,Madison,FL,32341,South,10-12-18,"$700,236",Non-Default,24-08-21,799,828,"$203,068"
38681582,CREDIT CARD,409-99-5705,503-940-3451,Pacific City,Tillamook,Pacific City,OR,97135,West,18-01-20,"$35,401",Non-Default,28-11-20,893,911,"$14,160"
38681583,CREDIT CARD,255-99-5949,339-657-0188,West Boxford,Essex,West Boxford,MA,1885,Northeast,20-08-20,"$33,381",Non-Default,24-08-21,732,764,"$9,680"
38681584,PERSONAL LOAN,053-02-2677,225-586-1739,Metairie,Jefferson,Metairie,LA,70009,South,13-11-18,"$151,836",Non-Default,21-05-21,743,770,"$9,110"
38681585,CREDIT CARD,002-11-9034,216-949-9582,Toledo,Lucas,Toledo,OH,43602,Midwest,07-05-20,"$46,048",Default,24-08-21,744,741,"$9,670"
38681586,CREDIT CARD,349-08-3482,229-266-6109,Norcross,Gwinnett,Norcross,GA,30003,South,24-08-21,"$25,870",Non-Default,10-04-21,704,700,"$11,900"
38681587,CREDIT CARD,057-02-3570,212-510-7269,Swain,Allegany,Swain,NY,14884,Northeast,02-06-19,"$65,804",Default,15-01-21,669,689,"$30,928"
38681588,MORTGAGE,761-12-9907,308-393-7738,Pierce,Pierce,Pierce,NE,68767,Midwest,11-11-18,"$970,293",Non-Default,26-03-21,657,682,"$194,059"
38681589,PERSONAL LOAN,537-71-1894,236-972-8565,Linville,Rockingham,Linville,VA,22834,South,21-06-20,"$162,087",Non-Default,14-06-21,651,679,"$66,456"
38681590,CREDIT CARD,614-87-9259,480-581-7334,Buckeye,Buckeye,Buckeye,AZ,85396,West,03-11-19,"$79,071",Default,24-08-21,778,774,"$17,396"
38681591,MORTGAGE,099-02-6003,206-393-0819,Hoodsport,Mason,Hoodsport,WA,98548,West,17-04-20,"$489,701",Non-Default,24-08-21,867,865,"$102,837"
38681592,CREDIT CARD,534-71-5766,212-797-0138,Staten Island,Richmond,Staten Island,NY,10302,Northeast,18-07-20,"$81,069",Non-Default,24-08-21,827,828,"$28,374"
38681593,MORTGAGE,078-02-0212,423-810-8410,Lebanon,Wilson,Lebanon,TN,37088,South,09-06-21,"$889,213",Non-Default,13-12-20,847,861,"$124,490"
38681594,PERSONAL LOAN,224-99-4487,231-808-0917,Frontier,Hillsdale,Frontier,MI,49239,Midwest,09-05-19,"$86,292",Default,01-12-20,896,890,"$37,968"
38681595,MORTGAGE,676-22-6301,216-384-7750,Youngstown,Mahoning,Youngstown,OH,44504,Midwest,23-05-20,"$600,377",Non-Default,21-12-20,857,881,"$186,117"
38681596,MORTGAGE,565-99-7717,479-632-8975,North Little Rock,Pulaski,North Little Rock,AR,72119,South,19-04-20,"$493,710",Non-Default,13-03-21,755,757,"$177,736"
38681597,MORTGAGE,568-99-1183,209-654-2282,Temecula,Riverside,Temecula,CA,92590,West,02-12-20,"$577,854",Default,15-03-21,791,796,"$80,900"
38681598,CREDIT CARD,762-12-3896,304-991-3145,Huntington,Cabell,Huntington,WV,25775,South,28-11-18,"$29,342",Non-Default,01-08-21,778,793,"$8,216"
38681599,CREDIT CARD,647-21-7047,217-284-7478,Triumph,La Salle,Triumph,IL,61371,Midwest,24-08-21,"$78,735",Non-Default,24-08-21,874,893,"$14,960"
38681600,MORTGAGE,338-11-9008,480-956-6791,Williams,Coconino,Williams,AZ,86046,West,17-08-20,"$639,781",Non-Default,25-11-20,854,893,"$31,989"
38681601,MORTGAGE,608-87-4029,212-617-5844,Jamaica,Jamaica,Jamaica,NY,11402,Northeast,09-08-19,"$593,153",Default,20-02-21,855,877,"$17,795"
38681602,CREDIT CARD,198-84-0499,423-801-2808,Memphis,Shelby,Memphis,TN,38197,South,22-06-20,"$49,061",Non-Default,31-05-21,674,704,$981
38681603,PERSONAL LOAN,438-99-5355,209-821-1916,Maywood,Los Angeles,Maywood,CA,90270,West,06-08-21,"$164,356",Default,24-08-21,788,833,"$70,673"
38681604,CREDIT CARD,005-13-3669,209-752-8623,San Ysidro,San Diego,San Ysidro,CA,92173,West,28-04-18,"$55,975",Non-Default,02-06-21,652,661,"$16,233"
38681605,MORTGAGE,008-94-5006,205-440-7261,Union Grove,Marshall,Union Grove,AL,35175,South,01-07-18,"$360,293",Non-Default,07-07-21,776,778,$0
38681606,CREDIT CARD,660-24-0591,219-935-1195,Lewis,Vigo,Lewis,IN,47858,Midwest,16-07-21,"$74,722",Non-Default,19-04-21,799,796,"$11,956"
38681607,MORTGAGE,561-99-7869,385-546-5478,Salt Lake City,Salt Lake,Salt Lake City,UT,84150,West,14-08-18,"$930,271",Non-Default,15-05-21,747,791,"$213,962"
38681608,MORTGAGE,342-11-1508,319-828-2011,Bristow,Butler,Bristow,IA,50611,Midwest,24-02-18,"$936,688",Non-Default,26-01-21,789,796,"$65,568"
38681609,CREDIT CARD,539-71-2400,219-687-7196,Tyner,Marshall,Tyner,IN,46572,Midwest,05-07-18,"$95,332",Non-Default,03-03-21,656,673,"$15,253"
38681610,CREDIT CARD,682-24-8746,239-912-2094,Bartow,Polk,Bartow,FL,33831,South,23-10-19,"$79,783",Default,24-08-21,861,890,"$32,711"
38681611,PERSONAL LOAN,088-02-5769,423-636-5078,Maryville,Blount,Maryville,TN,37801,South,19-02-21,"$120,551",Non-Default,24-08-21,794,799,"$48,220"
38681612,CREDIT CARD,517-49-3116,217-618-6994,Broadlands,Champaign,Broadlands,IL,61816,Midwest,22-07-20,"$62,088",Non-Default,24-08-21,852,870,"$12,418"
38681613,PERSONAL LOAN,645-29-1528,270-446-8814,Premium,Letcher,Premium,KY,41845,South,05-05-20,"$93,737",Non-Default,16-11-20,868,865,"$38,432"
38681614,MORTGAGE,590-99-2821,339-578-1795,West Boxford,Essex,West Boxford,MA,1885,Northeast,18-08-19,"$318,537",Non-Default,24-08-21,728,734,"$3,185"
38681615,PERSONAL LOAN,416-67-9759,218-794-0130,Rochester,Olmsted,Rochester,MN,55905,Midwest,24-08-21,"$36,714",Default,06-07-21,876,922,"$1,469"
38681616,PERSONAL LOAN,316-35-4865,270-379-6110,Saint Charles,Hopkins,Saint Charles,KY,42453,South,27-03-21,"$146,736",Default,10-02-21,826,854,"$48,423"
38681617,MORTGAGE,726-18-9738,216-233-7779,Akron,Summit,Akron,OH,44315,Midwest,13-10-18,"$859,472",Non-Default,18-05-21,839,883,"$403,952"
38681618,PERSONAL LOAN,209-84-8953,210-805-9086,Athens,Henderson,Athens,TX,75751,South,24-01-19,"$80,450",Non-Default,13-11-20,836,845,"$25,744"
38681619,CREDIT CARD,769-02-5082,210-746-2549,Pasadena,Harris,Pasadena,TX,77502,South,03-07-21,"$91,963",Non-Default,17-05-21,680,690,"$22,071"
38681620,MORTGAGE,170-86-3908,239-795-4400,Eastpoint,Franklin,Eastpoint,FL,32328,South,24-08-21,"$438,685",Non-Default,27-11-20,836,883,"$149,153"
38681621,MORTGAGE,116-98-1412,207-288-2255,Pemaquid,Lincoln,Pemaquid,ME,4558,Northeast,02-12-18,"$258,725",Non-Default,01-03-21,796,814,"$103,490"
38681622,MORTGAGE,390-33-6563,236-388-5259,Batesville,Albemarle,Batesville,VA,22924,South,06-02-20,"$481,352",Non-Default,26-12-20,893,909,"$43,322"
38681623,MORTGAGE,381-37-6506,314-944-6747,Florence,Morgan,Florence,MO,65329,Midwest,16-08-18,"$732,182",Default,24-08-21,843,849,"$344,126"
38681624,CREDIT CARD,391-33-3181,907-974-9402,Elmendorf Afb,Anchorage Municipality,Elmendorf Afb,AK,99506,West,25-12-20,"$96,707",Non-Default,24-08-21,743,745,"$31,913"
38681625,PERSONAL LOAN,116-98-2959,209-373-2906,Palm Desert,Riverside,Palm Desert,CA,92260,West,11-08-20,"$54,672",Non-Default,27-03-21,850,868,"$12,575"
38681626,PERSONAL LOAN,712-18-3350,212-346-4100,Whallonsburg,Whallonsburg,Whallonsburg,NY,12994,Northeast,06-09-18,"$134,494",Default,26-02-21,689,719,"$45,728"
38681627,MORTGAGE,161-86-3334,201-665-9640,New Lisbon,Burlington,New Lisbon,NJ,8064,Northeast,27-10-18,"$258,569",Non-Default,24-08-21,857,900,"$41,371"
38681628,CREDIT CARD,414-99-6397,205-249-1155,Atmore,Escambia,Atmore,AL,36502,South,13-10-20,"$54,395",Non-Default,04-04-21,688,680,"$10,879"
38681629,PERSONAL LOAN,206-84-7822,212-780-2896,Westbury,Nassau,Westbury,NY,11590,Northeast,15-12-20,"$71,511",Non-Default,09-02-21,650,693,"$35,756"
38681630,MORTGAGE,282-15-0294,231-828-1900,Buchanan,Berrien,Buchanan,MI,49107,Midwest,24-08-21,"$365,535",Default,24-08-21,815,841,"$127,937"
38681631,MORTGAGE,273-17-4398,212-606-6240,Mount Kisco,Westchester,Mount Kisco,NY,10549,Northeast,10-06-21,"$547,825",Default,22-01-21,710,701,"$120,522"
38681632,PERSONAL LOAN,322-11-3057,217-821-7827,Mundelein,Lake,Mundelein,IL,60060,Midwest,09-06-19,"$143,511",Non-Default,24-08-21,860,881,"$24,397"
38681633,PERSONAL LOAN,312-35-1476,319-378-7204,Ames,Story,Ames,IA,50012,Midwest,21-01-19,"$142,384",Default,21-05-21,866,905,"$44,139"
38681634,CREDIT CARD,715-18-6659,603-274-0800,Lyndeborough,Hillsborough,Lyndeborough,NH,3082,Northeast,04-03-18,"$71,674",Default,24-08-21,795,834,"$27,236"
38681635,MORTGAGE,200-84-3063,231-216-1848,Beulah,Benzie,Beulah,MI,49617,Midwest,26-09-20,"$981,450",Non-Default,11-07-21,697,722,"$9,815"
38681636,MORTGAGE,070-02-3436,239-575-4924,Key Largo,Monroe,Key Largo,FL,33037,South,24-08-21,"$853,280",Non-Default,30-07-21,650,655,"$93,861"
38681637,CREDIT CARD,059-02-6423,270-560-2969,Whitesburg,Letcher,Whitesburg,KY,41858,South,16-05-19,"$27,852",Default,24-08-21,710,714,"$5,570"
38681638,CREDIT CARD,118-98-4990,236-720-6826,Cape Charles,Northampton,Cape Charles,VA,23310,South,25-09-20,"$75,747",Non-Default,23-02-21,679,690,"$1,515"
38681639,CREDIT CARD,264-99-2225,210-271-7271,Garland,Dallas,Garland,TX,75043,South,17-12-20,"$36,583",Non-Default,21-08-21,716,709,"$1,829"
38681640,CREDIT CARD,249-99-3596,215-648-9539,Stroudsburg,Monroe,Stroudsburg,PA,18360,Northeast,04-07-18,"$34,431",Non-Default,06-04-21,669,659,"$11,018"
